model_name,ngram,count
gpt-3.5-turbo,sensitive information,115
gpt-3.5-turbo,phishing emails,95
gpt-3.5-turbo,engineering tactics,82
gpt-3.5-turbo,financial gain,77
gpt-3.5-turbo,threat actors,69
gpt-3.5-turbo,unauthorized access,61
gpt-3.5-turbo,access sensitive,55
gpt-3.5-turbo,gain access,48
gpt-3.5-turbo,stolen credentials,45
gpt-3.5-turbo,gain unauthorized,43
gpt-3.5-turbo,leaking sensitive,38
gpt-3.5-turbo,scenario likely,33
gpt-3.5-turbo,attacker use,31
gpt-3.5-turbo,malicious links,31
gpt-3.5-turbo,use social,30
gpt-3.5-turbo,clicking malicious,29
gpt-3.5-turbo,dark web,29
gpt-3.5-turbo,motivated financial,28
gpt-3.5-turbo,specific individuals,28
gpt-3.5-turbo,actor behaviors,27
gpt-3.5-turbo,actor use,27
gpt-3.5-turbo,include following,26
gpt-3.5-turbo,exploiting vulnerabilities,25
gpt-3.5-turbo,scenario threat,25
gpt-3.5-turbo,sense urgency,25
gpt-3.5-turbo,tactics manipulate,25
gpt-3.5-turbo,use stolen,24
gpt-3.5-turbo,persistence threat,23
gpt-3.5-turbo,divulging sensitive,22
gpt-3.5-turbo,technical skills,22
gpt-3.5-turbo,actions compromise,21
gpt-3.5-turbo,data exfiltration,21
gpt-3.5-turbo,personal vendetta,21
gpt-3.5-turbo,tactics threat,21
gpt-3.5-turbo,actor used,20
gpt-3.5-turbo,engineering skills,20
gpt-3.5-turbo,information systems,20
gpt-3.5-turbo,involve following,20
gpt-3.5-turbo,steal credentials,20
gpt-3.5-turbo,trick employees,20
gpt-3.5-turbo,used social,20
gpt-3.5-turbo,actors eastern,19
gpt-3.5-turbo,avoid detection,19
gpt-3.5-turbo,information performing,19
gpt-3.5-turbo,leak sensitive,19
gpt-3.5-turbo,ransom payment,19
gpt-3.5-turbo,targeted attacks,19
gpt-3.5-turbo,cover tracks,18
gpt-3.5-turbo,login credentials,18
gpt-3.5-turbo,systems data,18
gpt-3.5-turbo,craft convincing,17
gpt-3.5-turbo,credential stuffing,17
gpt-3.5-turbo,disrupt operations,17
gpt-3.5-turbo,gain threat,17
gpt-3.5-turbo,intellectual property,17
gpt-3.5-turbo,performing actions,17
gpt-3.5-turbo,phishing attacks,17
gpt-3.5-turbo,systems networks,17
gpt-3.5-turbo,trusted individual,17
gpt-3.5-turbo,use various,17
gpt-3.5-turbo,access systems,16
gpt-3.5-turbo,actor likely,16
gpt-3.5-turbo,creating sense,16
gpt-3.5-turbo,manipulate employee,16
gpt-3.5-turbo,older adults,16
gpt-3.5-turbo,organization network,16
gpt-3.5-turbo,organization systems,16
gpt-3.5-turbo,sophisticated techniques,16
gpt-3.5-turbo,tactics trick,16
gpt-3.5-turbo,actor motivated,15
gpt-3.5-turbo,compromise security,15
gpt-3.5-turbo,data way,15
gpt-3.5-turbo,emails phone,15
gpt-3.5-turbo,involve using,15
gpt-3.5-turbo,leading leak,15
gpt-3.5-turbo,organization specific,15
gpt-3.5-turbo,phone calls,15
gpt-3.5-turbo,providing sensitive,15
gpt-3.5-turbo,tactics gain,15
gpt-3.5-turbo,attack scenario,14
gpt-3.5-turbo,attacker attempt,14
gpt-3.5-turbo,credentials gain,14
gpt-3.5-turbo,gather information,14
gpt-3.5-turbo,ideological motivations,14
gpt-3.5-turbo,personal gain,14
gpt-3.5-turbo,ransomware attacks,14
gpt-3.5-turbo,techniques threat,14
gpt-3.5-turbo,access company,13
gpt-3.5-turbo,actor personal,13
gpt-3.5-turbo,appear legitimate,13
gpt-3.5-turbo,cause harm,13
gpt-3.5-turbo,confidential information,13
gpt-3.5-turbo,data theft,13
gpt-3.5-turbo,engineering techniques,13
gpt-3.5-turbo,female threat,13
gpt-3.5-turbo,ideological reasons,13
gpt-3.5-turbo,malicious activities,13
gpt-3.5-turbo,payment exchange,13
gpt-3.5-turbo,steal sensitive,13
gpt-3.5-turbo,vendetta organization,13
gpt-3.5-turbo,access organization,12
gpt-3.5-turbo,attacks threat,12
gpt-3.5-turbo,behavior include,12
gpt-3.5-turbo,covering tracks,12
gpt-3.5-turbo,credentials involve,12
gpt-3.5-turbo,cyber attacks,12
gpt-3.5-turbo,data dark,12
gpt-3.5-turbo,data form,12
gpt-3.5-turbo,deception tactics,12
gpt-3.5-turbo,demand ransom,12
gpt-3.5-turbo,evade detection,12
gpt-3.5-turbo,identity theft,12
gpt-3.5-turbo,increase likelihood,12
gpt-3.5-turbo,information clicking,12
gpt-3.5-turbo,likely behavior,12
gpt-3.5-turbo,persistence attacker,12
gpt-3.5-turbo,revenge threat,12
gpt-3.5-turbo,spear phishing,12
gpt-3.5-turbo,various tactics,12
gpt-3.5-turbo,access network,11
gpt-3.5-turbo,actor ideological,11
gpt-3.5-turbo,actor possess,11
gpt-3.5-turbo,actor specifically,11
gpt-3.5-turbo,behavior involve,11
gpt-3.5-turbo,behavior leaking,11
gpt-3.5-turbo,company network,11
gpt-3.5-turbo,convincing phishing,11
gpt-3.5-turbo,deleting logs,11
gpt-3.5-turbo,deploying malicious,11
gpt-3.5-turbo,employees clicking,11
gpt-3.5-turbo,external parties,11
gpt-3.5-turbo,following social,11
gpt-3.5-turbo,hacking techniques,11
gpt-3.5-turbo,initial access,11
gpt-3.5-turbo,malicious purposes,11
gpt-3.5-turbo,personal information,11
gpt-3.5-turbo,reasons threat,11
gpt-3.5-turbo,revenge ideological,11
gpt-3.5-turbo,targeted approach,11
gpt-3.5-turbo,tracks deleting,11
gpt-3.5-turbo,trust threat,11
gpt-3.5-turbo,use sophisticated,11
gpt-3.5-turbo,vary depending,11
gpt-3.5-turbo,actor attempt,10
gpt-3.5-turbo,actor create,10
gpt-3.5-turbo,attacker likely,10
gpt-3.5-turbo,behavior considered,10
gpt-3.5-turbo,carry attack,10
gpt-3.5-turbo,considered social,10
gpt-3.5-turbo,decryption key,10
gpt-3.5-turbo,engineering threat,10
gpt-3.5-turbo,exfiltrate sensitive,10
gpt-3.5-turbo,incident involving,10
gpt-3.5-turbo,include financial,10
gpt-3.5-turbo,involve phishing,10
gpt-3.5-turbo,likelihood success,10
gpt-3.5-turbo,logs altering,10
gpt-3.5-turbo,maintain access,10
gpt-3.5-turbo,providing access,10
gpt-3.5-turbo,revealing credentials,10
gpt-3.5-turbo,security measures,10
gpt-3.5-turbo,send phishing,10
gpt-3.5-turbo,simulation involving,10
gpt-3.5-turbo,skills threat,10
gpt-3.5-turbo,specifically targeted,10
gpt-3.5-turbo,stolen user,10
gpt-3.5-turbo,use advanced,10
gpt-3.5-turbo,actor exhibit,9
gpt-3.5-turbo,actors middle,9
gpt-3.5-turbo,allowing craft,9
gpt-3.5-turbo,attacks attacker,9
gpt-3.5-turbo,behavior attacker,9
gpt-3.5-turbo,belief organization,9
gpt-3.5-turbo,credentials attacker,9
gpt-3.5-turbo,credentials cybersecurity,9
gpt-3.5-turbo,emails appear,9
gpt-3.5-turbo,employees taking,9
gpt-3.5-turbo,following actions,9
gpt-3.5-turbo,gain seeking,9
gpt-3.5-turbo,impersonation threat,9
gpt-3.5-turbo,increase chances,9
gpt-3.5-turbo,insider use,9
gpt-3.5-turbo,links providing,9
gpt-3.5-turbo,manipulate employees,9
gpt-3.5-turbo,manipulate individuals,9
gpt-3.5-turbo,methods gain,9
gpt-3.5-turbo,motivations belief,9
gpt-3.5-turbo,overall threat,9
gpt-3.5-turbo,sending multiple,9
gpt-3.5-turbo,social media,9
gpt-3.5-turbo,strong social,9
gpt-3.5-turbo,technical expertise,9
gpt-3.5-turbo,technical proficiency,9
gpt-3.5-turbo,use malware,9
gpt-3.5-turbo,ways threat,9
gpt-3.5-turbo,access insider,8
gpt-3.5-turbo,actor conducted,8
gpt-3.5-turbo,actor insider,8
gpt-3.5-turbo,advanced technical,8
gpt-3.5-turbo,attack techniques,8
gpt-3.5-turbo,attacker used,8
gpt-3.5-turbo,behavior vary,8
gpt-3.5-turbo,bypass security,8
gpt-3.5-turbo,compromised systems,8
gpt-3.5-turbo,contain malicious,8
gpt-3.5-turbo,create sense,8
gpt-3.5-turbo,cybersecurity breach,8
gpt-3.5-turbo,data intellectual,8
gpt-3.5-turbo,deploy ransomware,8
gpt-3.5-turbo,eastern european,8
gpt-3.5-turbo,emails messages,8
gpt-3.5-turbo,employee divulging,8
gpt-3.5-turbo,engineering insider,8
gpt-3.5-turbo,europe known,8
gpt-3.5-turbo,extended period,8
gpt-3.5-turbo,financial information,8
gpt-3.5-turbo,gain sell,8
gpt-3.5-turbo,impersonate trusted,8
gpt-3.5-turbo,individuals divulging,8
gpt-3.5-turbo,individuals organization,8
gpt-3.5-turbo,lack awareness,8
gpt-3.5-turbo,likely demand,8
gpt-3.5-turbo,malicious intent,8
gpt-3.5-turbo,motivations include,8
gpt-3.5-turbo,multiple phishing,8
gpt-3.5-turbo,organization security,8
gpt-3.5-turbo,period time,8
gpt-3.5-turbo,possess strong,8
gpt-3.5-turbo,pressure employee,8
gpt-3.5-turbo,psychological manipulation,8
gpt-3.5-turbo,revealing sensitive,8
gpt-3.5-turbo,sabotage insider,8
gpt-3.5-turbo,selling sensitive,8
gpt-3.5-turbo,skills allowing,8
gpt-3.5-turbo,sophisticated hacking,8
gpt-3.5-turbo,stealing sensitive,8
gpt-3.5-turbo,taking action,8
gpt-3.5-turbo,target organization,8
gpt-3.5-turbo,threat threat,8
gpt-3.5-turbo,urgency threat,8
gpt-3.5-turbo,using stolen,8
gpt-3.5-turbo,access accounts,7
gpt-3.5-turbo,actor impersonate,7
gpt-3.5-turbo,actor send,7
gpt-3.5-turbo,altering timestamps,7
gpt-3.5-turbo,attack threat,7
gpt-3.5-turbo,attempt cover,7
gpt-3.5-turbo,attempt use,7
gpt-3.5-turbo,calls methods,7
gpt-3.5-turbo,chances success,7
gpt-3.5-turbo,communication channels,7
gpt-3.5-turbo,company operations,7
gpt-3.5-turbo,critical systems,7
gpt-3.5-turbo,data company,7
gpt-3.5-turbo,data external,7
gpt-3.5-turbo,deployed malicious,7
gpt-3.5-turbo,emails threat,7
gpt-3.5-turbo,employ sophisticated,7
gpt-3.5-turbo,employee taking,7
gpt-3.5-turbo,employee trust,7
gpt-3.5-turbo,employees providing,7
gpt-3.5-turbo,engineer threat,7
gpt-3.5-turbo,espionage threat,7
gpt-3.5-turbo,establish communication,7
gpt-3.5-turbo,establish trust,7
gpt-3.5-turbo,european threat,7
gpt-3.5-turbo,exchange decrypting,7
gpt-3.5-turbo,exfiltration attacker,7
gpt-3.5-turbo,exhibit certain,7
gpt-3.5-turbo,form revenge,7
gpt-3.5-turbo,gain employee,7
gpt-3.5-turbo,impersonating trusted,7
gpt-3.5-turbo,individual organization,7
gpt-3.5-turbo,individuals leading,7
gpt-3.5-turbo,individuals organizations,7
gpt-3.5-turbo,information financial,7
gpt-3.5-turbo,insider attempt,7
gpt-3.5-turbo,insider knowledge,7
gpt-3.5-turbo,insider trading,7
gpt-3.5-turbo,involving phishing,7
gpt-3.5-turbo,malicious link,7
gpt-3.5-turbo,networks data,7
gpt-3.5-turbo,organization actions,7
gpt-3.5-turbo,reconnaissance identify,7
gpt-3.5-turbo,skill level,7
gpt-3.5-turbo,sophisticated attack,7
gpt-3.5-turbo,specific organizations,7
gpt-3.5-turbo,targeting specific,7
gpt-3.5-turbo,trick manipulate,7
gpt-3.5-turbo,use phishing,7
gpt-3.5-turbo,using techniques,7
gpt-3.5-turbo,valuable data,7
gpt-3.5-turbo,valuable information,7
gpt-3.5-turbo,way expose,7
gpt-3.5-turbo,working behalf,7
gpt-3.5-turbo,young adults,7
gpt-3.5-turbo,actions unethical,6
gpt-3.5-turbo,approach threat,6
gpt-3.5-turbo,attacker aim,6
gpt-3.5-turbo,behavior analyzed,6
gpt-3.5-turbo,behavior unemployed,6
gpt-3.5-turbo,behavior young,6
gpt-3.5-turbo,behaviors scenario,6
gpt-3.5-turbo,building rapport,6
gpt-3.5-turbo,carry attacks,6
gpt-3.5-turbo,certain behaviors,6
gpt-3.5-turbo,coerced blackmailed,6
gpt-3.5-turbo,communication attacker,6
gpt-3.5-turbo,communication threat,6
gpt-3.5-turbo,competitors profit,6
gpt-3.5-turbo,compromise organization,6
gpt-3.5-turbo,conducted reconnaissance,6
gpt-3.5-turbo,create false,6
gpt-3.5-turbo,cultural understanding,6
gpt-3.5-turbo,curiosity desire,6
gpt-3.5-turbo,data systems,6
gpt-3.5-turbo,deploy malware,6
gpt-3.5-turbo,different tactics,6
gpt-3.5-turbo,email make,6
gpt-3.5-turbo,emails exploiting,6
gpt-3.5-turbo,employee pretending,6
gpt-3.5-turbo,employees divulging,6
gpt-3.5-turbo,exchange providing,6
gpt-3.5-turbo,exfiltration insider,6
gpt-3.5-turbo,exploit vulnerabilities,6
gpt-3.5-turbo,female attacker,6
gpt-3.5-turbo,financial data,6
gpt-3.5-turbo,foreign government,6
gpt-3.5-turbo,fraudulent activities,6
gpt-3.5-turbo,harmful leaking,6
gpt-3.5-turbo,individual motivated,6
gpt-3.5-turbo,individuals revealing,6
gpt-3.5-turbo,information intellectual,6
gpt-3.5-turbo,information personal,6
gpt-3.5-turbo,inside network,6
gpt-3.5-turbo,insider organization,6
gpt-3.5-turbo,known advanced,6
gpt-3.5-turbo,level technical,6
gpt-3.5-turbo,likely behaviors,6
gpt-3.5-turbo,manipulate target,6
gpt-3.5-turbo,operate phishing,6
gpt-3.5-turbo,operations deleting,6
gpt-3.5-turbo,paying ransom,6
gpt-3.5-turbo,persistent attacks,6
gpt-3.5-turbo,phishing attempts,6
gpt-3.5-turbo,phishing campaigns,6
gpt-3.5-turbo,pretending trusted,6
gpt-3.5-turbo,pretexting threat,6
gpt-3.5-turbo,profit revenge,6
gpt-3.5-turbo,providing decryption,6
gpt-3.5-turbo,reconnaissance gather,6
gpt-3.5-turbo,seeking gain,6
gpt-3.5-turbo,seeking sell,6
gpt-3.5-turbo,sell sensitive,6
gpt-3.5-turbo,senior executive,6
gpt-3.5-turbo,sensitive systems,6
gpt-3.5-turbo,sophisticated tactics,6
gpt-3.5-turbo,state sponsored,6
gpt-3.5-turbo,stuffing threat,6
gpt-3.5-turbo,systems involve,6
gpt-3.5-turbo,tactics phishing,6
gpt-3.5-turbo,target specific,6
gpt-3.5-turbo,targeted organization,6
gpt-3.5-turbo,targeting threat,6
gpt-3.5-turbo,technical knowledge,6
gpt-3.5-turbo,theft attacker,6
gpt-3.5-turbo,timestamps using,6
gpt-3.5-turbo,tools techniques,6
gpt-3.5-turbo,tracks avoid,6
gpt-3.5-turbo,trusted source,6
gpt-3.5-turbo,trying different,6
gpt-3.5-turbo,unethical harmful,6
gpt-3.5-turbo,urgency fear,6
gpt-3.5-turbo,vulnerabilities company,6
gpt-3.5-turbo,vulnerabilities organization,6
gpt-3.5-turbo,web competitors,6
gpt-3.5-turbo,access confidential,5
gpt-3.5-turbo,access valuable,5
gpt-3.5-turbo,actor believed,5
gpt-3.5-turbo,actor coerced,5
gpt-3.5-turbo,actor establish,5
gpt-3.5-turbo,actor persistent,5
gpt-3.5-turbo,actor using,5
gpt-3.5-turbo,actor working,5
gpt-3.5-turbo,actors asia,5
gpt-3.5-turbo,actors persistent,5
gpt-3.5-turbo,actors south,5
gpt-3.5-turbo,actors use,5
gpt-3.5-turbo,advanced malware,5
gpt-3.5-turbo,advanced techniques,5
gpt-3.5-turbo,attack carried,5
gpt-3.5-turbo,attack involve,5
gpt-3.5-turbo,attacker exhibit,5
gpt-3.5-turbo,attacker leverage,5
gpt-3.5-turbo,attempt exfiltrate,5
gpt-3.5-turbo,attention recognition,5
gpt-3.5-turbo,authority figure,5
gpt-3.5-turbo,automated tools,5
gpt-3.5-turbo,awareness older,5
gpt-3.5-turbo,based common,5
gpt-3.5-turbo,behavior based,5
gpt-3.5-turbo,behavior exhibited,5
gpt-3.5-turbo,behavior middle,5
gpt-3.5-turbo,behavior student,5
gpt-3.5-turbo,blackmailed leaking,5
