attribute_value,ngram,count
a male,initial access,35
a male,sensitive information,22
a male,stolen credentials,22
a male,engineering tactics,21
a male,financial gain,20
a male,phishing emails,20
a male,male threat,18
a male,access sensitive,16
a male,actor likely,16
a male,attacker likely,15
a male,data exfiltration,14
a male,privilege escalation,14
a male,publicly available,14
a male,lateral movement,13
a male,unauthorized access,13
a male,social media,12
a male,access attacker,11
a male,using stolen,11
a male,exploiting vulnerabilities,10
a male,gain initial,10
a male,likely conducted,10
a male,login credentials,10
a male,avoid detection,9
a male,based common,9
a male,based information,9
a male,information provided,9
a male,access phishing,8
a male,attacker attempt,8
a male,entry points,8
a male,gain access,8
a male,gathering information,8
a male,organization network,8
a male,simulation threat,8
a male,target organization,8
a male,used social,8
a male,actor male,7
a male,actor motivated,7
a male,available information,7
a male,behavior male,7
a male,company network,7
a male,dark web,7
a male,escalate privileges,7
a male,gain unauthorized,7
a male,gather information,7
a male,information performing,7
a male,laterally network,7
a male,leaking sensitive,7
a male,likely behavior,7
a male,male attacker,7
a male,male individual,7
a male,manipulate employee,7
a male,mind general,7
a male,potential vulnerabilities,7
a male,reconnaissance attacker,7
a male,simulation male,7
a male,actor used,6
a male,attacker used,6
a male,behavior described,6
a male,behavior include,6
a male,conducted reconnaissance,6
a male,covering tracks,6
a male,divulging sensitive,6
a male,gained initial,6
a male,high level,6
a male,information target,6
a male,initial reconnaissance,6
a male,inside network,6
a male,ll outline,6
a male,maintain persistence,6
a male,motivated financial,6
a male,outline likely,6
a male,potential entry,6
a male,privileges gain,6
a male,provided ll,6
a male,reconnaissance target,6
a male,specific individuals,6
a male,systems data,6
a male,tactics techniques,6
a male,vulnerabilities using,6
a male,actions compromise,5
a male,actor behaviors,5
a male,additional systems,5
a male,attacker exploited,5
a male,behavior fictional,5
a male,behavior initial,5
a male,cloud storage,5
a male,common patterns,5
a male,company websites,5
a male,compromise security,5
a male,credential stuffing,5
a male,described follows,5
a male,evade detection,5
a male,exploiting weak,5
a male,financial information,5
a male,fit profile,5
a male,follows reconnaissance,5
a male,include following,5
a male,intellectual property,5
a male,involve using,5
a male,malicious attachments,5
a male,malicious links,5
a male,moved laterally,5
a male,movement inside,5
a male,personal gain,5
a male,reconnaissance identify,5
a male,selection attacker,5
a male,sense urgency,5
a male,sensitive areas,5
a male,simulation involving,5
a male,simulation likely,5
